date,open,high,low,mstr
2023-02-02 17:00:00,289.75,297.67,289.75,297.67
2023-02-02 18:00:00,297.67,301.26,297.19,301.26
2023-02-02 19:00:00,301.135,301.3,286.13,287.61
2023-02-02 20:00:00,287.61,293.16,286.06,292.32
2023-02-03 15:00:00,293.56,303.47,286.9,298.91
2023-02-03 16:00:00,298.69,300.31,292.24,292.24
2023-02-03 17:00:00,290.47,296.3,289.22,290.86
2023-02-03 18:00:00,290.86,290.9,285.775,287.115
2023-02-03 19:00:00,287.3,289.98,286.285,286.285
2023-02-03 20:00:00,286.285,286.82,282.34,285.1
2023-02-06 15:00:00,280.49,281.74,274.11,277.01
2023-02-06 16:00:00,277.01,283.48,277.01,277.79
2023-02-06 17:00:00,277.79,282.04,277.01,280.675
2023-02-06 18:00:00,279.74,281.13,278.58,281.13
2023-02-06 19:00:00,281.13,285.37,279.41,280.59
2023-02-06 20:00:00,281.14,282.41,277.44,282.07
2023-02-07 15:00:00,282.0,282.0,272.42,276.27
2023-02-07 16:00:00,276.27,278.36,275.02,276.26
2023-02-07 17:00:00,276.005,286.03,273.59,286.03
2023-02-07 18:00:00,286.03,286.03,271.06,274.11
2023-02-07 19:00:00,273.94,278.34,273.94,277.71
2023-02-07 20:00:00,277.71,284.61,277.15,283.62
2023-02-08 15:00:00,284.93,285.29,276.5,277.63
2023-02-08 16:00:00,277.63,277.63,271.92,276.71
2023-02-08 17:00:00,276.4,277.52,274.14,275.89
2023-02-08 18:00:00,275.89,278.35,273.86,273.9
2023-02-08 19:00:00,273.735,276.29,273.69,276.29
2023-02-08 20:00:00,276.18,278.33,274.1,275.985
2023-02-09 15:00:00,268.87,269.25,259.04,259.74
2023-02-09 16:00:00,259.74,264.68,259.46,260.12
2023-02-09 17:00:00,260.12,262.78,257.31,258.27
2023-02-09 18:00:00,258.27,260.8,256.465,259.04
2023-02-09 19:00:00,259.04,259.415,252.05,253.33
2023-02-09 20:00:00,253.33,253.33,245.55,249.62
2023-02-10 15:00:00,245.0,247.305,242.51,245.07
2023-02-10 16:00:00,245.07,247.21,245.07,245.58
2023-02-10 17:00:00,243.385,244.69,241.57,243.9
2023-02-10 18:00:00,243.9,245.84,242.09,242.26
2023-02-10 19:00:00,242.26,243.13,242.08,243.13
2023-02-10 20:00:00,243.13,245.02,243.13,243.545
2023-02-13 15:00:00,242.79,243.79,240.47,243.13
2023-02-13 16:00:00,243.13,244.81,241.6,242.96
2023-02-13 17:00:00,242.96,246.56,242.96,246.2
2023-02-13 18:00:00,246.2,249.2,245.85,248.735
2023-02-13 19:00:00,248.735,250.91,247.685,248.07
2023-02-13 20:00:00,248.07,249.64,247.475,248.83
2023-02-14 15:00:00,265.135,268.72,254.86,260.0
2023-02-14 16:00:00,260.0,262.72,256.57,258.56
2023-02-14 17:00:00,258.56,260.94,258.56,259.57
2023-02-14 18:00:00,259.57,266.98,259.57,266.36
2023-02-14 19:00:00,266.36,272.6,264.49,271.68
2023-02-14 20:00:00,271.68,276.65,270.82,271.71
2023-02-15 15:00:00,272.915,281.42,272.63,279.07
2023-02-15 16:00:00,276.925,283.26,276.925,281.98
2023-02-15 17:00:00,281.98,282.76,279.81,281.84
2023-02-15 18:00:00,282.28,282.98,279.33,282.93
2023-02-15 19:00:00,282.93,291.52,282.93,286.38
2023-02-15 20:00:00,288.05,299.42,287.72,298.37
2023-02-16 15:00:00,297.0,309.15,294.58,309.12
2023-02-16 16:00:00,310.095,314.99,301.22,302.54
2023-02-16 17:00:00,302.54,302.54,296.82,298.72
2023-02-16 18:00:00,298.72,298.72,293.11,297.2
2023-02-16 19:00:00,297.2,298.41,293.91,294.51
2023-02-16 20:00:00,293.62,293.62,282.97,283.88
2023-02-17 15:00:00,278.29,283.82,278.29,280.18
2023-02-17 16:00:00,280.18,283.79,277.14,278.675
2023-02-17 17:00:00,279.26,284.94,279.26,281.295
2023-02-17 18:00:00,281.295,284.03,281.295,283.265
2023-02-17 19:00:00,283.265,291.0,282.93,289.695
2023-02-17 20:00:00,289.695,297.0,289.695,293.705
2023-02-21 15:00:00,279.71,279.9,272.33,274.64
2023-02-21 16:00:00,274.64,275.33,270.0,274.58
2023-02-21 17:00:00,274.36,276.91,274.36,275.7
2023-02-21 18:00:00,275.7,276.365,271.22,271.8
2023-02-21 19:00:00,271.89,272.92,269.44,270.62
2023-02-21 20:00:00,270.41,271.37,267.77,270.35
2023-02-22 15:00:00,268.99,270.51,264.26,269.81
2023-02-22 16:00:00,269.81,270.4,264.33,265.38
2023-02-22 17:00:00,265.38,265.95,263.64,263.64
2023-02-22 18:00:00,263.58,267.47,262.44,265.77
2023-02-22 19:00:00,265.77,269.35,265.04,265.69
2023-02-22 20:00:00,265.69,270.115,265.69,268.68
2023-02-23 15:00:00,273.48,273.48,266.07,267.07
2023-02-23 16:00:00,267.5,268.895,262.18,262.18
2023-02-23 17:00:00,262.73,267.06,262.73,265.06
2023-02-23 18:00:00,265.06,266.58,264.34,266.58
2023-02-23 19:00:00,266.58,268.09,266.285,267.55
2023-02-23 20:00:00,267.55,270.47,266.23,266.245
2023-02-24 15:00:00,260.52,260.52,251.5,251.5
2023-02-24 16:00:00,251.51,255.3,249.41,254.34
2023-02-24 17:00:00,254.34,254.34,251.85,251.9
2023-02-24 18:00:00,251.9,255.29,250.7,254.86
2023-02-24 19:00:00,254.86,255.44,252.7,254.96
2023-02-24 20:00:00,254.96,256.6,253.85,256.24
2023-02-27 15:00:00,262.88,268.19,262.19,264.03
2023-02-27 16:00:00,264.03,265.34,261.03,263.18
2023-02-27 17:00:00,263.18,263.18,261.4,262.64
2023-02-27 18:00:00,262.64,262.735,258.2,259.35
2023-02-27 19:00:00,259.365,260.105,256.555,256.86
2023-02-27 20:00:00,256.86,258.41,255.8,257.9
2023-02-28 15:00:00,262.96,265.17,261.67,262.61
2023-02-28 16:00:00,262.61,266.7,262.61,264.0
2023-02-28 17:00:00,264.42,267.0,264.3,267.0
2023-02-28 18:00:00,267.0,268.64,265.1,268.63
2023-02-28 19:00:00,268.63,269.68,265.46,266.96
2023-02-28 20:00:00,266.96,266.96,260.2,263.06
2023-03-01 15:00:00,266.04,266.04,257.32,260.38
2023-03-01 16:00:00,260.38,260.38,255.01,257.39
2023-03-01 17:00:00,257.39,261.74,257.39,260.74
2023-03-01 18:00:00,260.74,260.74,255.68,256.58
2023-03-01 19:00:00,256.58,257.07,254.3,254.85
2023-03-01 20:00:00,254.85,259.7,254.21,258.12
2023-03-02 15:00:00,244.41,250.925,244.37,250.925
2023-03-02 16:00:00,250.935,252.19,248.7,248.7
2023-03-02 17:00:00,248.7,249.06,243.67,243.67
2023-03-02 18:00:00,243.67,249.27,243.43,249.27
2023-03-02 19:00:00,250.56,250.995,248.53,250.995
2023-03-02 20:00:00,250.995,253.66,250.085,252.85
